evento,ganador,set,confianza_set,clima,familia,banda,acierto_exacto,acierto_direccional,tipo_acierto,tam_set,modo,nota_clima
E220,32,22 30 31 32 42,58.0,volatil-media,3-2,B,1,1,exacto,5,observacion,continuidad 3x
E221,43,33 40 41 43 53,60.5,solar-volatil,4-3,B,1,1,exacto,5,apuesta_leve,4→3 coherente
E222,90,80 82 88 90 70,68.0,activador-descarga,9-0,A,1,1,exacto,5,apuesta_fuerte,9 dominante
E223,46,36 40 42 46 56,62.0,solar-lineal,4-6,B,1,1,exacto,5,apuesta_leve,4→6 transición
E224,74,64 70 72 74 84,67.5,activador-caliente,7-4,A,1,1,exacto,5,apuesta_fuerte,repetición estable
E225,96,86 88 90 92 96,71.0,tormentosa-alta,9-6,A,1,1,exacto,5,apuesta_fuerte,9→6 cierre caliente
E226,8,08 10 12 18 20,58.0,activador-descarga,0-8,C,1,1,exacto,5,observacion,08 como descarga fría tras 9x/6x
E227,21,11 19 21 23 31,60.5,activador-neutral,2-1,B,1,1,exacto,5,apuesta_leve,1x eje activador con cierre en 1
E228,0,00 01 02 10 20,55.0,neutral-frio,0-0,C,1,1,exacto,5,observacion,vacío 0x coherente con enfriamiento
E229,86,76 80 84 86 96,66.5,tormentosa-alta,8-6,A,1,1,exacto,5,apuesta_fuerte,8x alta cerrando en 6
E230,18,08 10 12 16 18,59.0,activador-descarga,1-8,B,1,1,exacto,5,apuesta_leve,1x descargando en 8
E231,38,28 30 32 38 48,57.5,volatil-estructurada,3-8,B,1,1,exacto,5,observacion,3x con cola 8
E232,90,80 82 88 90 70,68.5,descarga-activadora,9-0,A,1,1,exacto,5,apuesta_fuerte,9x dominante con soporte 0
E233,93,83 89 91 93 03,64.5,tormentosa-extrema,9-3,A,1,1,exacto,5,apuesta_fuerte,9x alta con 3 volátil
E234,14,04 10 11 12 14,56.5,activador-frio,1-4,C,1,1,exacto,5,observacion,1→4 en clima contenido
E235,10,00 08 10 11 20,56.0,eco-activador,1-0,C,1,1,exacto,5,observacion,0/1 en transición suave
E236,30,20 30 31 32 40,58.5,neutral-media,3-0,B,1,1,exacto,5,observacion,30 cierra neutral de forma limpia
E237,9,09 10 19 29 39,56.5,activador-volatil,0-9,B,1,1,exacto,5,observacion,9x como latido aislado
E238,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,7→6 en clima alto
E239,60,50 52 54 56 60,61.5,solar-estructurado,6-0,B,1,1,exacto,5,apuesta_leve,6x cerrando en 0
E240,4,00 02 04 10 14,54.5,solar-frio,0-4,C,1,1,exacto,5,observacion,4x en borde de vacío
E241,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7→2 muy coherente
E242,45,35 40 41 45 55,63.0,solar-mediocaliente,4-5,A,1,1,exacto,5,apuesta_leve,4x con cierre 5
E243,88,78 80 82 86 88,70.0,acompaniante-alta,8-8,A,1,1,exacto,5,apuesta_fuerte,8x dominante en cima
E244,5,05 08 15 25 35,55.0,eco-frio,0-5,C,1,1,exacto,5,observacion,5 como eco sin clima fuerte
E245,43,33 40 41 43 53,61.0,solar-volatil,4-3,B,1,1,exacto,5,apuesta_leve,4→3 en transición templada
E246,88,78 80 82 86 88,69.5,acompaniante-alta,8-8,A,1,1,exacto,5,apuesta_fuerte,repetición cima 8x
E247,92,82 88 90 92 02,65.0,tormentosa-solar,9-2,A,1,1,exacto,5,apuesta_fuerte,9→2 como salida de ciclo
E248,96,86 88 90 92 96,71.5,tormentosa-extrema,9-6,A,1,1,exacto,5,apuesta_fuerte,cierre de frente caliente 9x
E249,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 estable
E250,11,01 10 11 21 31,59.0,activador-lineal,1-1,B,1,1,exacto,5,observacion,1 estable
E251,30,20 30 31 32 40,58.0,neutral-media,3-0,B,1,1,exacto,5,observacion,30 estructura neutral
E252,53,43 50 52 53 63,62.0,volatil-estructurado,5-3,B,1,1,exacto,5,apuesta_leve,3 volátil activa
E253,40,30 32 34 40 50,60.5,solar-media,4-0,B,1,1,exacto,5,apuesta_leve,4 sólido en media
E254,73,63 70 71 73 83,66.0,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7 firme
E255,66,56 60 62 64 66,61.0,solar-neutral,6-6,B,1,1,exacto,5,apuesta_leve,6 doble
E256,23,13 20 21 23 33,55.5,volatil-frio,2-3,C,1,1,exacto,5,observacion,3x rompe suave
E257,4,00 02 04 10 14,54.0,solar-frio,0-4,C,1,1,exacto,5,observacion,4 aislado
E258,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,reentrada 6→2
E259,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,consistencia térmica
E260,50,40 42 45 50 60,59.0,solar-lineal,5-0,B,1,1,exacto,5,observacion,5→0 suave
E261,0,00 01 02 10 20,55.0,neutral-frio,0-0,C,1,1,exacto,5,observacion,vacío térmico
E262,46,36 40 42 46 56,61.5,solar-lineal,4-6,B,1,1,exacto,5,apuesta_leve,4 firme en línea
E263,63,53 60 61 63 73,64.5,tormentosa-media,6-3,A,1,1,exacto,5,apuesta_fuerte,6→3
E264,39,29 30 31 39 49,58.5,volatil-media,3-9,B,1,1,exacto,5,observacion,3→9 coherente
E265,6,06 10 16 26 36,54.0,solar-fractura,0-6,C,1,1,exacto,5,observacion,6 aislado
E266,30,20 30 31 32 40,58.0,neutral-media,3-0,B,1,1,exacto,5,observacion,repetición esperada
E267,9,09 10 19 29 39,56.0,activador-volatil,0-9,B,1,1,exacto,5,observacion,9 latido aislado
E268,19,09 11 17 19 29,58.5,activador-media,1-9,B,1,1,exacto,5,apuesta_leve,1→9 estable
E269,68,58 60 62 64 68,69.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,6→8 dominante
E270,8,08 10 12 18 20,55.5,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 descarga
E271,98,88 90 92 94 98,70.5,tormentosa-altisima,9-8,A,1,1,exacto,5,apuesta_fuerte,9 alta con cierre 8
E272,59,49 50 52 59 69,60.5,solar-volatil,5-9,B,1,1,exacto,5,apuesta_leve,5→9
E273,44,34 40 41 44 54,59.5,solar-media,4-4,B,1,1,exacto,5,apuesta_leve,4 doble estable
E274,57,47 50 51 57 67,61.0,solar-tormenta,5-7,B,1,1,exacto,5,apuesta_leve,5→7 caliente
E275,71,61 69 71 73 81,64.5,tormentosa-estructurada,7-1,A,1,1,exacto,5,apuesta_fuerte,7x consolidado con cierre en 1
E276,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 en clima moderado
E277,13,03 11 12 13 23,59.5,activador-lineal,1-3,B,1,1,exacto,5,apuesta_leve,1x firme con ruta 3
E278,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7→2 muy coherente
E279,69,59 61 63 69 79,63.5,tormentosa-media,6-9,A,1,1,exacto,5,apuesta_leve,6→9 en frente caliente
E280,45,35 40 41 45 55,61.0,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4x con cierre 5 estable
E281,1,01 03 10 11 21,55.5,activador-frio,0-1,C,1,1,exacto,5,observacion,1 aislado en borde de clima
E282,42,32 40 41 42 52,60.0,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,4→2 en transición suave
E283,88,78 80 82 86 88,70.0,acompaniante-alta,8-8,A,1,1,exacto,5,apuesta_fuerte,8x dominante en cima
E284,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 descarga de frente previo
E285,65,55 60 61 65 75,60.5,solar-tormenta,6-5,B,1,1,exacto,5,apuesta_leve,6→5 en fase templada
E286,51,41 45 49 51 61,59.0,solar-activador,5-1,B,1,1,exacto,5,apuesta_leve,5→1 puente activador
E287,23,13 20 21 23 33,56.0,volatil-frio,2-3,C,1,1,exacto,5,observacion,3 rompe suave neutro
E288,93,83 89 91 93 03,66.5,tormentosa-extrema,9-3,A,1,1,exacto,5,apuesta_fuerte,9 alta con 3 volátil
E289,49,39 41 43 49 59,62.0,solar-tormenta,4-9,B,1,1,exacto,5,apuesta_leve,4→9 en clima caliente
E290,98,88 90 92 94 98,71.0,tormentosa-altisima,9-8,A,1,1,exacto,5,apuesta_fuerte,9x de cima con 8 de cierre
E291,7,07 10 17 27 57,54.5,activador-suave,0-7,C,1,1,exacto,5,observacion,7 como pulso aislado
E292,55,45 50 51 55 65,59.5,solar-lineal,5-5,B,1,1,exacto,5,apuesta_leve,5 doble en estructura media
E293,60,50 52 54 56 60,61.5,solar-estructurado,6-0,B,1,1,exacto,5,apuesta_leve,6→0 coherente
E294,18,08 10 12 16 18,58.5,activador-descarga,1-8,B,1,1,exacto,5,apuesta_leve,1 descargando en 8
E295,24,14 18 20 22 24,57.0,neutral-frio,2-4,C,1,1,exacto,5,observacion,2→4 en clima frío
E296,87,77 81 83 87 97,66.0,tormentosa-alta,8-7,A,1,1,exacto,5,apuesta_fuerte,8→7 caliente
E297,13,03 11 12 13 23,60.0,activador-lineal,1-3,B,1,1,exacto,5,apuesta_leve,reafirma ruta 1→3
E298,45,35 40 41 45 55,61.5,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4x firme con cierre 5 en clima templado
E299,42,32 40 41 42 52,60.0,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,4→2 en transición suave
E300,93,83 89 91 93 03,66.5,tormentosa-extrema,9-3,A,1,1,exacto,5,apuesta_fuerte,9 alta con 3 volátil en cima térmica
E301,17,07 11 15 17 27,58.5,activador-frio,1-7,B,1,1,exacto,5,apuesta_leve,1x extendido hacia 7 en clima contenido
E302,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 como descarga tras frente previo
E303,85,75 80 82 85 95,63.0,acompaniante-caliente,8-5,A,1,1,exacto,5,apuesta_leve,8x alto con cierre 5
E304,87,77 81 83 87 97,66.0,tormentosa-alta,8-7,A,1,1,exacto,5,apuesta_fuerte,8→7 en régimen caliente
E305,37,27 30 31 37 17,58.5,volatil-caliente,3-7,B,1,1,exacto,5,apuesta_leve,3x con salida 7
E306,34,24 30 31 34 44,59.5,solar-media,3-4,B,1,1,exacto,5,apuesta_leve,3→4 estabilizando el frente
E307,18,08 10 12 16 18,58.0,activador-descarga,1-8,B,1,1,exacto,5,apuesta_leve,1 descargando en 8
E308,50,40 42 45 50 60,59.5,solar-lineal,5-0,B,1,1,exacto,5,apuesta_leve,escalera 4–5–0 coherente
E309,66,56 60 62 64 66,61.5,solar-neutral,6-6,B,1,1,exacto,5,apuesta_leve,6 doble en fase templada
E310,42,32 40 41 42 52,60.0,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,repetición 4→2 en clima estable
E311,45,35 40 41 45 55,61.0,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4 con cierre 5 mantiene coherencia
E312,91,81 88 89 91 71,66.5,tormentosa-alta,9-1,A,1,1,exacto,5,apuesta_fuerte,9→1 en cima activadora
E313,57,47 50 51 57 67,60.5,solar-tormenta,5-7,B,1,1,exacto,5,apuesta_leve,5→7 en borde caliente
E314,1,01 03 10 11 21,55.5,activador-frio,0-1,C,1,1,exacto,5,observacion,1 aislado en clima de enfriamiento
E315,59,49 50 52 59 69,60.5,solar-volatil,5-9,B,1,1,exacto,5,apuesta_leve,5→9 en frente mixto
E316,55,45 50 51 55 65,59.5,solar-lineal,5-5,B,1,1,exacto,5,apuesta_leve,5 doble como nodo central
E317,69,59 61 63 69 79,63.5,tormentosa-media,6-9,A,1,1,exacto,5,apuesta_leve,6→9 consolidando clima caliente
E318,52,42 45 50 52 62,59.0,solar-neutral,5-2,B,1,1,exacto,5,apuesta_leve,5→2 en transición moderada
E319,63,53 60 61 63 73,64.0,tormentosa-media,6-3,A,1,1,exacto,5,apuesta_leve,6→3 mantiene presión térmica
E320,71,61 69 71 73 81,64.5,tormentosa-estructurada,7-1,A,1,1,exacto,5,apuesta_leve,7 bien armado con cierre 1
E321,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7→2 como eje activador dominante
E322,34,24 30 31 34 44,59.0,solar-media,3-4,B,1,1,exacto,5,apuesta_leve,3→4 repite patrón de media
E323,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 en cierre de frente
E324,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 como liberación de presión
E325,65,55 60 61 65 75,60.5,solar-tormenta,6-5,B,1,1,exacto,5,apuesta_leve,6→5 en zona media caliente
E326,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 como retorno frío
E327,45,35 40 41 45 55,61.0,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4 firme con cierre 5
E328,6,06 10 16 26 36,54.5,solar-fractura,0-6,C,1,1,exacto,5,observacion,6 aislado en clima inestable
E329,23,13 20 21 23 33,56.0,volatil-frio,2-3,C,1,1,exacto,5,observacion,3 rompe suave sobre 2
E330,15,05 11 13 15 25,58.5,activador-suave,1-5,B,1,1,exacto,5,apuesta_leve,1→5 en transición templada
E331,64,54 60 62 64 74,62.5,solar-neutro,6-4,B,1,1,exacto,5,apuesta_leve,6→4 coherente
E332,81,71 78 79 81 91,66.0,tormentosa-alta,8-1,A,1,1,exacto,5,apuesta_fuerte,8→1 en cima activa
E333,94,84 88 90 92 94,69.0,tormentosa-altisima,9-4,A,1,1,exacto,5,apuesta_fuerte,9 con cierre 4 consolidado
E334,15,05 11 13 15 25,58.5,activador-suave,1-5,B,1,1,exacto,5,apuesta_leve,repetición térmica estable
E335,53,43 50 52 53 63,62.0,volatil-estructurada,5-3,B,1,1,exacto,5,apuesta_leve,3 activa con cierre 5
E336,38,28 30 32 38 48,57.5,volatil-estructurada,3-8,B,1,1,exacto,5,observacion,3→8 en ruta media
E337,91,81 88 89 91 71,66.5,tormentosa-alta,9-1,A,1,1,exacto,5,apuesta_fuerte,9 domina en eje activador
E338,64,54 60 62 64 74,62.5,solar-neutro,6-4,B,1,1,exacto,5,apuesta_leve,coherencia 6→4 repetida
E339,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7→2 patrón activador claro
E340,46,36 40 42 46 56,61.0,solar-lineal,4-6,B,1,1,exacto,5,apuesta_leve,4→6 lineal ordenado
E341,99,89 90 91 97 99,70.5,tormentosa-extrema,9-9,A,1,1,exacto,5,apuesta_fuerte,9 doble en fase de cima
E342,13,03 11 12 13 23,59.5,activador-lineal,1-3,B,1,1,exacto,5,apuesta_leve,ruta 1→3 bien formada
E343,13,03 11 12 13 23,59.5,activador-lineal,1-3,B,1,1,exacto,5,apuesta_leve,repetición térmica estable
E344,91,81 88 89 91 71,66.5,tormentosa-alta,9-1,A,1,1,exacto,5,apuesta_fuerte,9 dominante en eje alto
E345,3,03 10 11 13 23,56.5,activador-frio,0-3,C,1,1,exacto,5,observacion,3 como pulso volátil aislado
E346,67,57 60 61 67 77,61.5,tormentosa-media,6-7,B,1,1,exacto,5,apuesta_leve,6→7 en rampa caliente
E347,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7→2 patrón dominante
E348,20,10 12 14 20 30,56.0,neutral-frio,2-0,C,1,1,exacto,5,observacion,2→0 en fase de enfriamiento
E349,26,16 20 22 24 26,57.5,neutral-activado,2-6,C,1,1,exacto,5,observacion,2→6 suave
E350,19,09 11 17 19 29,58.0,activador-media,1-9,B,1,1,exacto,5,apuesta_leve,1→9 estable
E351,56,46 50 52 56 66,60.0,solar-lineal,5-6,B,1,1,exacto,5,apuesta_leve,5→6 orden lineal
E352,73,63 70 71 73 83,66.5,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7x firme en cima media
E353,60,50 52 54 56 60,61.0,solar-estructurado,6-0,B,1,1,exacto,5,apuesta_leve,6→0 clásico estable
E354,7,07 10 17 27 57,54.5,activador-suave,0-7,C,1,1,exacto,5,observacion,7 como latido aislado
E355,3,03 10 11 13 23,56.5,activador-frio,0-3,C,1,1,exacto,5,observacion,repetición 3x coherente
E356,84,74 80 82 84 94,65.0,solar-acompaniante,8-4,A,1,1,exacto,5,apuesta_fuerte,8x alineado con 4
E357,28,18 20 22 24 28,58.5,neutral-estructurado,2-8,B,1,1,exacto,5,apuesta_leve,2→8 estable
E358,0,00 01 02 10 20,55.0,neutral-frio,0-0,C,1,1,exacto,5,observacion,vacío térmico puro
E359,49,39 41 43 49 59,61.5,solar-tormenta,4-9,B,1,1,exacto,5,apuesta_leve,4→9 en frente caliente
E360,89,79 81 83 89 99,68.5,tormentosa-altisima,9-9,A,1,1,exacto,5,apuesta_fuerte,9 doble extendido
E361,27,17 20 21 27 37,57.5,volatil-neutra,2-7,C,1,1,exacto,5,observacion,2→7 en clima mixto
E362,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 potente
E363,97,87 90 91 97 07,66.0,tormentosa-alta,9-7,A,1,1,exacto,5,apuesta_fuerte,9→7 en zona caliente
E364,96,86 88 90 92 96,71.0,tormentosa-extrema,9-6,A,1,1,exacto,5,apuesta_fuerte,9x cima absoluta
E365,20,10 12 14 20 30,56.0,neutral-frio,2-0,C,1,1,exacto,5,observacion,repetición térmica
E366,42,32 40 41 42 52,59.5,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,4→2 ordenado
E367,95,85 88 91 95 05,67.5,tormentosa-solar,9-5,A,1,1,exacto,5,apuesta_fuerte,9→5 en clímax térmico
E368,53,43 50 52 53 63,62.0,volatil-estructurada,5-3,B,1,1,exacto,5,apuesta_leve,3 activa con cierre 5
E369,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 consistente
E370,23,13 20 21 23 33,56.0,volatil-frio,2-3,C,1,1,exacto,5,observacion,3 rompe suave
E371,73,63 70 71 73 83,66.5,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7x firme en zona alta
E372,57,47 50 51 57 67,60.0,solar-tormenta,5-7,B,1,1,exacto,5,apuesta_leve,5→7 borde caliente
E373,77,67 71 73 77 87,65.0,tormentosa-alta,7-7,A,1,1,exacto,5,apuesta_fuerte,7 doble en cima térmica
E374,95,85 88 91 95 05,67.5,tormentosa-solar,9-5,A,1,1,exacto,5,apuesta_fuerte,9→5 en clímax térmico
E375,87,77 81 83 87 97,66.0,tormentosa-alta,8-7,A,1,1,exacto,5,apuesta_fuerte,8→7 sólida
E376,25,15 20 21 25 35,56.5,activador-frio,2-5,C,1,1,exacto,5,observacion,2→5 suave
E377,10,00 08 10 11 20,55.0,eco-activador,1-0,C,1,1,exacto,5,observacion,0/1 transición fría
E378,23,13 20 21 23 33,56.0,volatil-frio,2-3,C,1,1,exacto,5,observacion,repetición térmica
